id,code,name,reconcile,user_type_id/id,chart_template_id/id,currency_id/id
account_161501,161501,機械設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_161508,161508,累計折舊-機械設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_162001,162001,模具設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_162008,162008,累計折舊-模具設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_162501,162501,運輸設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_162508,162508,累計折舊-運輸設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_163001,163001,生財器具,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_163008,163008,累計折舊-生財器具,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_163501,163501,電腦設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_163508,163508,累計折舊-電腦設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_164001,164001,通訊設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_164008,164008,累計折舊-通訊設備,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_191013,191013,長期投資-新磐古(NP),FALSE,data_account_type_other_assets,l10n_chart_ovis,
account_2100,2100,流動負債,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2102,2102,銀行借款,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2150,2150,應付票據,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_217001,217001,應付帳款,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_217002,217002,應付帳款-內購,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_217003,217003,應付帳款-外購,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_2201,2201,應付費用,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_2205,2205,應付薪資,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_220601,220601,應付佣金,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_220602,220602,應付佣金-D,TRUE,account.data_account_type_payable,l10n_chart_ovis,
account_2301,2301,預收貨款,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2302,2302,預收租金,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2305,2305,代收款,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2306,2306,代收稅款,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2310,2310,銷項稅額,FALSE,account.data_account_type_current_liabilities,l10n_chart_ovis,
account_2600,2600,其他流動負債,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_2601,2601,存入保證金,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_2610,2610,股東往來,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_2611,2611,短期借款-長徑實業,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_265501,265501,同業往來-OB,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_265506,265506,同業往來-NP,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_265509,265509,同業往來-新OV,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_265511,265511,同業往來-客供品,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_2680,2680,退休金準備,FALSE,data_account_type_other_current_liabilities,l10n_chart_ovis,
account_3100,3100,資本,FALSE,account.data_account_type_equity,l10n_chart_ovis,
account_3110,3110,已收資本,FALSE,account.data_account_type_equity,l10n_chart_ovis,
account_3350,3350,累積盈虧,FALSE,account.data_account_type_equity,l10n_chart_ovis,
account_3353,3353,本期損益,FALSE,account.data_account_type_equity,l10n_chart_ovis,
account_410101,410101,銷貨收入-國外,FALSE,data_account_type_operating_income,l10n_chart_ovis,
